Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,7.25
Input Factor Type,cu/in
Serial Number,39706
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2025-11-20,16:00:51,1202,1200,732,1,0,0,0,130,3928,520.0,18285,1502,887,428,299,480,0,598,37.73,104.12%
2025-11-20,16:00:56,1156,1200,496,1,5747,0,0,160,3928,623.0,18994,1508,889,445,304,475,0,428,36.28,108.26%
2025-11-20,16:01:27,1221,1200,612,1,2681,1000,0,157,40,577.0,182,1508,889,445,313,469,0,445,38.32,1.04%
2025-11-20,16:01:33,1154,1200,1000,1,2014,1000,0,159,3442,556.0,17070,1508,887,1026,312,517,0,428,36.22,95.03%
2025-11-20,16:01:39,1167,1200,1000,1,1481,1000,0,159,3685,505.0,17475,1504,887,1014,308,510,0,451,36.63,100.61%
2025-11-20,16:01:45,1144,1200,0,1,947,1000,0,153,3867,605.0,18994,1510,885,439,311,481,0,439,35.90,107.70%
2025-11-20,16:01:51,1206,1200,912,1,281,1000,0,157,40,592.0,182,1510,887,451,307,477,0,445,37.85,1.06%
2025-11-20,16:01:57,1156,1200,1000,1,0,1000,0,159,3564,541.0,16767,1506,889,428,304,506,0,956,36.28,98.23%
2025-11-20,16:02:03,1184,1200,1000,1,0,1000,0,159,3827,514.0,17982,1512,885,428,307,510,0,1026,37.16,102.99%
2025-11-20,16:02:08,1150,1200,920,2,5959,1000,0,160,3948,511.0,18589,1506,887,422,306,505,0,1002,36.09,109.38%
2025-11-20,16:02:39,1215,1200,582,2,2893,2000,0,157,40,614.0,182,1510,887,457,305,472,0,457,38.13,1.05%
2025-11-20,16:02:45,1193,1200,1000,2,2359,2000,0,159,2673,592.0,13425,1508,887,2041,309,577,0,398,37.44,71.39%
2025-11-20,16:02:50,1195,1200,1000,2,1826,2000,0,159,3685,526.0,17982,1510,887,1982,305,581,0,416,37.51,98.25%
2025-11-20,16:02:56,1215,1200,0,2,1159,2000,0,152,3827,508.0,18387,1512,887,2023,306,573,0,392,38.13,100.36%
2025-11-20,16:03:03,1184,1200,690,2,493,2000,0,157,20,605.0,182,1514,889,439,310,476,0,445,37.16,0.54%
2025-11-20,16:03:09,1193,1200,1000,2,0,2000,0,159,3179,568.0,14438,1512,887,416,307,576,0,2064,37.44,84.90%
2025-11-20,16:03:15,1219,1200,1000,2,0,2000,0,159,3685,523.0,17172,1508,893,410,299,566,0,2029,38.26,96.32%
2025-11-20,16:03:20,1232,1200,912,3,5956,2000,0,160,3685,544.0,17273,1510,893,387,307,575,0,2041,38.67,95.30%
2025-11-20,16:03:51,1245,1200,390,3,2890,3000,0,157,20,605.0,182,1514,899,428,304,478,0,445,39.07,0.51%
2025-11-20,16:03:57,1206,1200,1000,3,2356,3000,0,157,20,614.0,182,1514,901,451,304,479,0,428,37.85,0.53%
2025-11-20,16:04:02,1178,1200,1000,3,1823,3000,0,159,40,617.0,182,1514,901,451,304,480,0,439,36.97,1.08%
2025-11-20,16:04:08,1227,1200,1000,3,1156,3000,0,156,40,617.0,182,1516,899,451,306,468,0,457,38.51,1.04%
2025-11-20,16:04:15,1210,1200,468,3,490,3000,0,157,20,614.0,81,1518,899,451,304,473,0,451,37.98,0.53%
2025-11-20,16:04:21,1193,1200,1000,3,0,3000,0,159,20,608.0,182,1516,901,439,304,482,0,439,37.44,0.53%
2025-11-20,16:04:27,1206,1200,1000,3,0,3000,0,159,3159,562.0,14134,1516,899,387,303,643,0,3114,37.85,83.46%
2025-11-20,16:04:33,1234,1200,1000,4,0,3000,0,135,3665,556.0,16969,1514,899,422,308,641,0,3073,38.73,94.63%
2025-11-20,16:04:38,1180,1200,136,4,5567,3000,0,109,40,605.0,182,1516,903,439,306,479,0,439,37.03,1.08%
