Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,6
Input Factor Type,cu/in
Serial Number,39803
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5,Theo Flow,Efficiency
2025-12-09,14:28:47,1197,1200,768,1,0,0,0,130,2997,36277.0,13830,1416,768,457,72,58,0,662,31.09,96.39%
2025-12-09,14:28:52,1150,1200,488,1,5743,0,0,160,3179,36277.0,15147,1414,768,445,72,59,0,633,29.87,106.43%
2025-12-09,14:29:17,1230,1200,1000,1,3343,1000,0,156,3118,63.0,14539,1416,772,457,72,59,0,985,31.95,97.60%
2025-12-09,14:29:22,1221,1200,1000,1,2810,1000,0,156,3159,60.0,14843,1416,773,445,72,59,0,985,31.71,99.61%
2025-12-09,14:29:27,1215,1200,1000,1,2276,1000,0,156,3138,63.0,14640,1414,773,475,71,58,0,985,31.56,99.43%
2025-12-09,14:29:32,1161,1200,1000,1,1743,1000,0,156,3179,63.0,14944,1420,779,451,72,58,0,997,30.16,105.42%
2025-12-09,14:29:38,1223,1200,1000,1,1210,1000,0,156,3159,63.0,14539,1418,781,439,72,58,0,1008,31.77,99.45%
2025-12-09,14:29:43,1232,1200,1000,1,676,1000,0,156,3179,63.0,14742,1418,781,451,71,59,0,985,32.00,99.34%
2025-12-09,14:29:48,1184,1200,1000,1,276,1000,0,156,3159,66.0,14843,1420,781,469,71,58,0,956,30.75,102.72%
2025-12-09,14:29:53,1193,1200,904,2,5951,1000,0,160,3159,66.0,14640,1420,779,445,71,58,0,997,30.99,101.95%
2025-12-09,14:30:18,1215,1200,1000,2,3418,2000,0,156,3118,69.0,14539,1420,781,451,72,58,0,2029,31.56,98.80%
2025-12-09,14:30:23,1165,1200,1000,2,2884,2000,0,156,3118,72.0,14539,1420,781,439,71,58,0,1970,30.26,103.04%
2025-12-09,14:30:28,1238,1200,1000,2,2484,2000,0,156,3159,69.0,14235,1416,781,475,72,58,0,2058,32.16,98.24%
2025-12-09,14:30:33,1230,1200,1000,2,1951,2000,0,156,3078,72.0,14337,1420,781,480,72,57,0,2005,31.95,96.34%
2025-12-09,14:30:38,1215,1200,1000,2,1418,2000,0,156,3098,69.0,14235,1420,781,457,71,58,0,1941,31.56,98.17%
2025-12-09,14:30:43,1219,1200,1000,2,884,2000,0,156,3057,72.0,14134,1422,779,451,71,57,0,2064,31.66,96.55%
2025-12-09,14:30:48,1156,1200,1000,2,351,2000,0,156,3179,72.0,14640,1422,779,445,71,58,0,1964,30.03,105.87%
2025-12-09,14:30:53,1234,1200,1000,3,0,2000,0,135,3199,72.0,14438,1420,781,445,71,57,0,2041,32.05,99.81%
2025-12-09,14:30:58,1210,1200,256,3,5626,2000,0,160,3159,75.0,14438,1424,781,457,72,57,0,2070,31.43,100.51%
2025-12-09,14:31:23,1169,1200,1000,3,3092,3000,0,156,3179,84.0,14539,1422,779,439,71,57,0,3102,30.36,104.70%
2025-12-09,14:31:28,1204,1200,1000,3,2692,3000,0,156,3098,81.0,14235,1420,781,457,72,56,0,2891,31.27,99.06%
2025-12-09,14:31:33,1204,1200,1000,3,2159,3000,0,156,3138,81.0,14438,1420,781,439,71,57,0,2997,31.27,100.34%
2025-12-09,14:31:38,1219,1200,1000,3,1626,3000,0,156,3138,81.0,14438,1420,781,416,72,57,0,2991,31.66,99.11%
2025-12-09,14:31:43,1206,1200,1000,3,1092,3000,0,156,3037,84.0,13830,1422,779,480,72,57,0,2944,31.32,96.95%
2025-12-09,14:31:48,1195,1200,1000,3,559,3000,0,156,3078,84.0,14438,1426,779,398,72,57,0,3085,31.04,99.17%
2025-12-09,14:31:54,1232,1200,1000,3,26,3000,0,156,3138,87.0,14843,1426,779,439,72,56,0,3043,32.00,98.06%
2025-12-09,14:31:59,1161,1200,672,4,5834,3000,0,109,3199,81.0,14843,1430,779,416,71,57,0,2961,30.16,106.08%
