Program Name,ole5
Description,Main Pump
Employee ID,1437
Comp Set,4500
Input Factor,11
Input Factor Type,cu/in
Serial Number,170036
Customer ID,123456

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5
2026-02-18,16:01:39,1262,1200,204,1,0,0,0,130,0.20,966.0,182,1408,756,469,293,466,0,680
2026-02-18,16:01:44,1184,1200,1000,1,0,0,0,130,56.49,987.0,20715,1404,758,439,287,469,0,604
2026-02-18,16:01:49,1202,1200,16,1,5505,0,0,160,0.20,1008.0,81,1410,758,486,292,451,0,486
2026-02-18,16:02:14,1208,1200,162,1,2972,1000,0,157,0.40,1005.0,182,1410,754,480,292,452,0,469
2026-02-18,16:02:19,1189,1200,762,1,2572,1000,0,157,0.20,1017.0,81,1406,754,486,292,452,0,457
2026-02-18,16:02:24,1215,1200,1000,1,2038,1000,0,159,58.32,1020.0,20715,1404,756,1067,293,492,0,451
2026-02-18,16:02:29,1202,1200,1000,1,1505,1000,0,159,57.30,1014.0,20715,1404,756,1038,289,494,0,457
2026-02-18,16:02:34,1210,1200,0,1,972,1000,0,152,57.51,1005.0,20715,1408,756,1038,292,496,0,428
2026-02-18,16:02:39,1202,1200,456,1,438,1000,0,157,0.20,1002.0,182,1406,756,475,291,448,0,480
2026-02-18,16:02:44,1217,1200,1000,1,38,1000,0,157,3.24,1041.0,182,1404,754,457,289,488,0,1032
2026-02-18,16:02:49,1191,1200,1000,1,0,1000,0,159,56.49,1017.0,20715,1404,756,445,291,493,0,1002
2026-02-18,16:02:55,1202,1200,1000,1,0,1000,0,156,56.29,1005.0,20715,1406,758,439,289,492,0,1008
2026-02-18,16:03:00,1152,1200,688,2,5842,1000,0,160,48.80,990.0,20614,1410,756,486,291,488,0,498
2026-02-18,16:03:30,1217,1200,324,2,2776,2000,0,157,0.20,969.0,81,1408,768,475,292,451,0,457
2026-02-18,16:03:35,1167,1200,924,2,2376,2000,0,157,0.20,1026.0,182,1412,768,2070,290,565,0,451
2026-02-18,16:03:40,1223,1200,1000,2,1842,2000,0,159,56.90,1008.0,20715,1408,770,2211,290,572,0,410
2026-02-18,16:03:45,1172,1200,1000,2,1309,2000,0,159,58.11,966.0,20715,1412,768,2146,288,568,0,428
2026-02-18,16:03:50,1152,1200,0,2,776,2000,0,152,25.31,1050.0,9801,1414,766,897,286,551,0,475
2026-02-18,16:03:55,1206,1200,612,2,242,2000,0,157,0.20,1008.0,182,1412,768,480,287,447,0,457
2026-02-18,16:04:00,1208,1200,1000,2,0,2000,0,159,0.20,1002.0,81,1414,768,486,288,447,0,475
2026-02-18,16:04:05,1193,1200,1000,2,0,2000,0,159,0.20,1008.0,182,1412,768,475,289,449,0,469
2026-02-18,16:04:10,1189,1200,1000,2,0,2000,0,156,0.40,1002.0,182,1418,768,469,289,452,0,480
2026-02-18,16:04:15,1200,1200,480,3,5738,2000,0,160,0.40,1011.0,182,1414,768,486,288,451,0,486
2026-02-18,16:05:00,1197,1200,114,3,1338,3000,0,157,0.20,1026.0,182,1422,768,480,289,446,0,457
2026-02-18,16:05:05,1202,1200,912,3,805,3000,0,157,0.40,1038.0,81,1420,768,2879,290,572,0,369
2026-02-18,16:05:10,1215,1200,1000,3,272,3000,0,159,55.08,1002.0,20715,1422,768,3102,285,632,0,422
2026-02-18,16:05:15,1210,1200,1000,3,0,3000,0,159,54.87,1002.0,20715,1424,779,3085,286,637,0,363
2026-02-18,16:05:21,1184,1200,904,4,5949,3000,0,109,56.29,1020.0,20715,1422,779,3026,287,636,0,475
2026-02-18,16:05:26,1210,1200,104,4,5549,3000,0,109,0.20,1002.0,81,1420,781,480,285,448,0,457
