Program Name,
Description,
Employee ID,0
Comp Set,0
Input Factor,11.0
Input Factor Type,cu/in
Serial Number,0
Customer ID,0

Date,Time,S1,SP,TP,Cycle,Cycle Timer,LCSetpoint,LC Regulate,Step,F1,F2,F3,T1,T3,P1,P2,P3,P4,P5
2026-03-04,17:32:21,1193,1200,1000,2,0,2000,0,159,0.20,1008.0,182.0,1412,768,475,289,449,0,469
2026-03-04,17:32:26,1217,1200,834,1,0,0,0,130,0.40,1020.0,81.0,1404,754,457,290,451,0,475
2026-03-04,17:32:31,1206,1200,1000,1,0,1000,0,156,56.90,1005.0,20715.0,1402,768,457,288,490,0,1008
2026-03-04,17:32:36,1182,1200,1000,2,0,2000,0,156,56.49,1002.0,20715.0,1408,781,398,284,565,0,2140
2026-03-04,17:32:41,1187,1200,1000,3,0,3000,0,159,55.48,999.0,20715.0,1426,793,381,285,632,0,3020
2026-03-04,17:32:46,1210,1200,0,1,972,1000,0,152,57.51,1005.0,20715.0,1408,756,1038,292,496,0,428
2026-03-04,17:32:51,1152,1200,0,2,776,2000,0,152,25.31,1050.0,9801.0,1414,766,897,286,551,0,475
2026-03-04,17:32:56,1184,1200,904,4,5949,3000,0,109,56.29,1020.0,20715.0,1422,779,3026,287,636,0,475
2026-03-04,17:33:01,1184,1200,906,1,287,1000,0,157,0.40,1029.0,182.0,1404,758,457,286,458,0,938
2026-03-04,17:33:06,1189,1200,630,2,225,2000,0,157,0.20,1005.0,182.0,1408,781,469,287,449,0,469
2026-03-04,17:33:11,1212,1200,360,3,258,3000,0,157,0.20,1017.0,81.0,1422,793,457,282,447,0,451
2026-03-04,17:33:16,1189,1200,762,1,2572,1000,0,157,0.20,1017.0,81.0,1406,754,486,292,452,0,457
2026-03-04,17:33:21,1167,1200,924,2,2376,2000,0,157,0.20,1026.0,182.0,1412,768,2070,290,565,0,451
2026-03-04,17:33:26,1202,1200,912,3,805,3000,0,157,0.40,1038.0,81.0,1420,768,2879,290,572,0,369
2026-03-04,17:33:31,1187,1200,1000,1,1887,1000,0,159,57.71,1002.0,20715.0,1402,754,1073,289,495,0,439
2026-03-04,17:33:36,1197,1200,1000,2,1691,2000,0,159,56.09,990.0,20715.0,1404,770,2199,285,567,0,381
2026-03-04,17:33:41,1202,1200,1000,3,1725,3000,0,159,55.08,1011.0,20715.0,1422,793,2932,281,632,0,422
2026-03-04,17:33:46,1184,1200,1000,1,0,0,0,130,56.49,987.0,20715.0,1404,758,439,287,469,0,604
2026-03-04,17:33:51,1202,1200,1000,1,0,1000,0,156,56.29,1005.0,20715.0,1406,758,439,289,492,0,1008
2026-03-04,17:33:56,1189,1200,1000,2,0,2000,0,156,0.40,1002.0,182.0,1418,768,469,289,452,0,480
2026-03-04,17:34:01,1200,1200,776,1,5887,0,0,160,58.92,990.0,20715.0,1402,756,439,291,471,0,645
2026-03-04,17:34:06,1206,1200,384,2,5691,1000,0,160,0.20,1008.0,81.0,1404,768,457,286,446,0,457
